HOUR_,open,high,low,close,op_bought,op_sold,eth_bought,eth_sold,op_fees,eth_fees,trade_count,vwap_24h,vwap_168h
2026-01-04 06:00:00,9993.085456993402,10017.780936741416,9986.615789377134,10017.780936741416,1077.5348532152698,3128.3645130548807,0.31182541587291074,0.10816103765275933,9.385093539164643,0.000324483112958278,12,10108.261702953245,10448.425447721325
2026-01-04 07:00:00,10021.16633591799,10021.16633591799,9984.02434301065,9984.02434301065,3707.2677709683153,343.20962516000003,0.03415149473789669,0.3717391454294763,1.02962887548,0.001115217436288429,11,10103.178642450486,10444.684588623546
2026-01-04 08:00:00,9991.458495076391,10003.634040718749,9983.000396375346,9983.000396375346,2032.0319906663162,1940.382161711398,0.19357273129462907,0.2039477522341539,5.821146485134195,0.0006118432567024617,12,10095.018879494628,10441.00916232316
2026-01-04 09:00:00,9986.815949713398,9987.436114437916,9924.739519159024,9931.988034847489,6359.003108707909,1512.373407265517,0.1515481529219363,0.6406589218993234,4.537120221796552,0.00192197676569797,16,10075.238777511482,10433.201288185694
2026-01-04 10:00:00,9931.988063863442,9983.74095617075,9931.988063863442,9983.74095617075,0.0,5293.449951270851,0.5299913662633243,0.0,15.880349853812552,0.0,14,10051.568802333868,10428.19601622031
2026-01-04 11:00:00,9987.55198333307,9987.55198333307,9936.585879769531,9936.585879769531,5198.216958463579,389.40917512962756,0.03887990185202719,0.5233727680632573,1.1682275253888827,0.0015701183041897718,9,10044.491408106036,10422.987157838561
2026-01-04 12:00:00,9933.035058941665,9933.035058941665,9857.475531036285,9871.086919018682,7460.376357483997,1251.4809378315272,0.12648937571997576,0.7560596557497133,3.7544428134945815,0.00226817896724914,23,10029.071127264688,10413.869529868347
2026-01-04 13:00:00,9874.860654109394,9903.795456574535,9863.645776845922,9863.645776845922,3894.3095041709544,3221.970163707581,0.32488583939081,0.39518866274923065,9.665910491122743,0.001185565988247692,18,10009.66269794481,10406.583796922125
2026-01-04 14:00:00,9858.61373453429,9858.613764174725,9827.395526108163,9827.395526108163,3326.1432132695636,0.0027260273972592,2.75682705922e-07,0.3388502686694068,8.1780821917776e-06,0.0010165508060082204,9,10000.657418892706,10402.95391534175
2026-01-04 15:00:00,9823.52613809936,9823.52613809936,9784.323255310273,9784.323255310273,5919.198615334491,0.0,0.0,0.6055850522236743,0.0,0.0018167551566710231,11,9987.41959211413,10396.107730579655
2026-01-04 16:00:00,9784.323284753576,9784.323284753576,9674.0983538694,9674.0983538694,10691.42944244117,0.0027260273972592,2.77775911533e-07,1.1021863303635049,8.1780821917776e-06,0.0033065589910905146,24,9962.584699629964,10382.502707006157
2026-01-04 17:00:00,9679.51448555306,9715.077586305499,9595.100520061917,9705.366167460212,5672.031838972748,7651.804745149265,0.7899343372895433,0.589771593001547,22.955414235447794,0.001769314779004641,19,9920.641558723442,10364.160089714627
2026-01-04 18:00:00,9705.366204469026,9755.430014226835,9705.366204469026,9755.430014226835,0.0,3682.8530402357746,0.37735524530978254,0.0,11.048559120707324,0.0,10,9914.070221333222,10359.91688498828
2026-01-04 19:00:00,9760.52613975876,9873.796541469706,9760.52613975876,9867.423057925422,463.3007362777672,8654.348632692008,0.8791525917301264,0.047078635909211526,25.96304589807603,0.0001412359077276346,27,9904.974270360204,10351.135740340229
2026-01-04 20:00:00,9867.423095307988,9871.076334724416,9867.423095234217,9871.076334724416,5.363564165919e-06,266.3811446806705,0.026910050304574728,5.451984e-10,0.7991434340420115,1.6355952000000003e-12,4,9900.585798241296,10350.909095477973
2026-01-04 21:00:00,9875.430769385084,9893.304040802583,9861.179798330195,9884.846165147806,2343.6274870755888,3354.273208784026,0.3385695840765551,0.23798905130183862,10.062819626352077,0.0007139671539055159,18,9894.810181362485,10346.170194353552
2026-01-04 22:00:00,9884.846202563362,9884.846202563362,9866.096896682244,9866.096896682244,1362.5876249422179,0.0027260273972592,2.74951098329e-07,0.13839220708916858,8.1780821917776e-06,0.0004151766212675057,6,9886.09873336212,10345.035978558359
2026-01-04 23:00:00,9861.189756843736,9861.189756843736,9827.283538758162,9831.944711681192,2824.843606799114,340.55710332210185,0.0345420926223954,0.2877463470439403,1.0216713099663055,0.0008632390411318211,9,9884.718549213652,10342.24671807605
2026-01-05 00:00:00,9831.944748996128,9890.55243443441,9831.94474892275,9886.201682772551,315.98335657521756,4275.201885199973,0.43223685799919753,0.03205118138943977,12.825605655599919,9.61535441683193e-05,15,9877.035293845145,10338.462001462744
2026-01-05 01:00:00,9891.724309846295,9935.121955664075,9891.724309846295,9935.121955664075,2.3117628589965937,3563.662068827535,0.35850071036567893,0.0002341,10.690986206482606,7.023e-07,16,9870.572530210924,10335.870147228017
2026-01-05 02:00:00,9935.121992871871,9967.737511379424,9935.121992871871,9949.843452099527,1388.8235225642584,2465.53602078445,0.24700777498378823,0.13987673451688115,7.39660806235335,0.0004196302035506435,12,9865.267350610091,10333.384921823203
2026-01-05 03:00:00,9944.897291979207,9962.215516816008,9944.897291979207,9962.215433228917,385.29083149051974,1349.7078418340045,0.135193708907692,0.03884930542513683,4.049123525502013,0.00011654791627541049,8,9861.913954592861,10332.271406374797
2026-01-05 04:00:00,9962.215468252607,10030.090314627963,9962.215468182825,10024.829055337825,424.29742555998166,5248.741711863792,0.5235073271118224,0.04244087496274686,15.746225135591375,0.00012732262488824057,16,9863.249042145602,10329.145865460288
2026-01-05 05:00:00,10019.418004731882,10019.418004731882,9942.170299544732,9942.170299544732,6529.20237270064,0.0,0.0,0.6559493929242276,0.0,0.0019678481787726828,17,9864.805772778062,10325.384357109726
2026-01-05 06:00:00,9942.170334377157,9982.04843054291,9942.170334377157,9982.04843054291,0.0,3117.7872852769824,0.31202630242983986,0.0,9.353361855830947,0.0,10,9862.800764848238,10323.539056972071
2026-01-05 07:00:00,9977.5501392399,9977.5501392399,9898.554520045564,9898.554520045564,7425.4723527108445,0.0,0.0,0.7492512994876922,0.0,0.0022477538984630764,20,9862.775198826645,10318.859689225961
2026-01-05 08:00:00,9898.554550482162,9998.37086870851,9898.554550421906,9998.37086870851,5.38048606699e-06,8926.763333774685,0.8946106576167604,5.451984e-10,26.78029000132405,1.6355952000000003e-12,33,9864.692800811561,10313.598818584816
2026-01-05 09:00:00,10003.30692044655,10076.647596177743,10003.30692044655,10071.202818666348,506.63433192429187,6904.289106566496,0.6858591866952499,0.05044298190048457,20.712867319699487,0.0001513289457014537,18,9869.116802932458,10310.442295350978
2026-01-05 10:00:00,10071.202847871013,10108.761404206869,10071.202847871013,10108.761404206869,0.0,3502.6514974560964,0.34610067221137436,0.0,10.50795449236829,0.0,13,9871.250326987914,10309.257024763521
